교과코드,교과,과목코드,과목명,특수코드,메모,여분
10,국어,1001,국어,,,
10,국어,1002,화법과 작문,,,
10,국어,1003,문학,,,
10,국어,1004,독서,,,
10,국어,1005,언어와 매체,,,
10,국어,1006,실용 국어,,,
10,국어,1007,심화 국어,,,
10,국어,1008,고전 읽기,,,
10,국어,1009,문예 창작 입문,,,
10,국어,1010,문학 개론,,,
10,국어,1011,문장론,,,
10,국어,1012,문학과 매체,,,
10,국어,1013,고전 문학 감상,,,
10,국어,1014,현대 문학 감상,,,
10,국어,1015,시 창작,,,
10,국어,1016,소설 창작,,,
10,국어,1017,극 창작,,,
10,국어,1018,국어1,,,
10,국어,1019,국어2,,,
10,국어,1020,문학1,,,
10,국어,1021,문학2,,,
10,국어,1022,독서와 문법,,,
10,국어,1023,독서와 문법1,,,
10,국어,1024,화법과 작문1,,,
10,국어,1025,화법과 작문2,,,
10,국어,1026,고전,,,
10,국어,1027,문학의 이해,,,
10,국어,1028,논술,,,
20,수학,2001,수학,,,
20,수학,2002,수학1,,,
20,수학,2003,수학2,,,
20,수학,2004,미적분,,,
20,수학,2005,확률과 통계,,,
20,수학,2006,실용 수학,,,
20,수학,2007,기하,,,
20,수학,2008,경제수학,,,
20,수학,2009,수학과제탐구,,,
20,수학,2010,심화 수학1,,,
20,수학,2011,심화 수학2,,,
20,수학,2012,고급 수학1,,,
20,수학,2013,고급 수학2,,,
20,수학,2014,인문 통합 수학,,,
20,수학,2015,자연 통합 수학,,,
20,수학,2016,기초 수학,,,
20,수학,2017,수학 연습,,,
20,수학,2018,수학의 활용,,,
20,수학,2019,미적분과 통계 기본,,,
20,수학,2020,미적분1,,,
20,수학,2021,미적분2,,,
20,수학,2022,기하와 벡터,,,
20,수학,2023,이산수학,,,
20,수학,2024,적분과 통계,,,
30,영어,3001,영어,,,
30,영어,3002,영어1,,,
30,영어,3003,영어2,,,
30,영어,3004,영어독해와 작문,,,
30,영어,3005,영어 회화,,,
30,영어,3006,실용 영어,,,
30,영어,3007,영어권 문화,,,
30,영어,3008,진로 영어,,,
30,영어,3009,영미 문학 읽기,,,
30,영어,3010,심화 영어 회화1,,,
30,영어,3011,심화 영어 회화2,,,
